Company Name,Lead Partner,Primary Investor Type,Primary Industry Sector
HyLight,Myriam Maestroni,Angel (individual),Business Products and Services (B2B)
PioniQ,Christophe Jurczak,Venture Capital,Energy
Weenat,Stephane Roussel,Venture Capital,Information Technology
BoydSense,Craig Cooper,Venture Capital,Healthcare
Pigment (Business/Productivity Software),Matthew Jacobson,Venture Capital,Information Technology
Pigment (Business/Productivity Software),Ajay Vashee,Venture Capital,Information Technology
Antidot,Maxence Valero,Venture Capital,Information Technology
Antidot,Claire Houry,Venture Capital,Information Technology
Iceberg Data Lab,Piotr Bukanski,Venture Capital,Business Products and Services (B2B)
Kor,Yakun Wang,Venture Capital,Healthcare
Brasserie Du Bouffay,Geoffrey Nguyen,Venture Capital,Consumer Products and Services (B2C)
Technopoudre,Nora Asri,Venture Capital,Business Products and Services (B2B)
Surge (Decision/Risk Analysis),Rami El Assal,Venture Capital,Healthcare
900.care,Melanie Le Guen,Venture Capital,Consumer Products and Services (B2C)
900.care,Matthieu Lattes,Venture Capital,Consumer Products and Services (B2C)
RebrAIn,Jean-Pierre Renaudin,Venture Capital,Healthcare
Firecell,Silviu Apostu,Venture Capital,Information Technology
Firecell,Jean Bourcereau,Venture Capital,Information Technology
Nestor (Business/Productivity Software),Pascal Colin,Angel (individual),Information Technology
Klark,Emmanuel Grenier,Angel (individual),Information Technology
Klark,Laurent Delaporte,Angel (individual),Information Technology
Klark,Thibaud Hug de Larauze,Angel (individual),Information Technology
Klark,Thomas France,Angel (individual),Information Technology
Inalve,Isabelle de Cremoux,Venture Capital,Materials and Resources
Getinside,Daniel Broche,Angel (individual),Information Technology
Getinside,De Boulanger,Angel (individual),Information Technology
Getinside,Franck Silva,Angel (individual),Information Technology
Getinside,Frédéric Montagnon,Angel (individual),Information Technology
Getinside,Gilles Moncaubeig,Angel (individual),Information Technology
Getinside,Julien Romanetto,Angel (individual),Information Technology
Getinside,Séverine Grégoire,Angel (individual),Information Technology
Hawkcell,Andreas Kastenbauer,Venture Capital,Business Products and Services (B2B)
Zama,Anatoly Yakovenko,Angel (individual),Information Technology
Zama,Gavin Wood,Angel (individual),Information Technology
Zama,Juan Batiz-Benet,Angel (individual),Information Technology
Zama,Julien Bouteloup,Angel (individual),Information Technology
Zama,Kyle Samani,Venture Capital,Information Technology
Zama,Tarun Chitra,Angel (individual),Information Technology
Greenly,Erik Mostenicky,Venture Capital,Information Technology
Diabeloop,Celia Hart,Venture Capital,Healthcare
FoodFlow,Jérémy Gotteland,Angel (individual),Business Products and Services (B2B)
FoodFlow,Nicolas Schweitzer,Angel (individual),Business Products and Services (B2B)
Skinosive,Antoine Pau,Venture Capital,Consumer Products and Services (B2C)
Valoregen,Jean-Christophe Kugler,Angel (individual),Business Products and Services (B2B)
PhotoRoom,Bernard Liautaud,Venture Capital,Information Technology
PhotoRoom,Yann LeCun,Angel (individual),Information Technology
PhotoRoom,Zehan Wang,Angel (individual),Information Technology
Vibe.co,Alain Roubach,Angel (individual),Information Technology
Vibe.co,Benjamin Antier,Angel (individual),Information Technology
Vibe.co,Cyril Vermeulen,Angel (individual),Information Technology
Vibe.co,Laurent Asscher,Angel (individual),Information Technology
Wise-Integration,Cyril Vancura,Venture Capital,Information Technology
Wise-Integration,Pierre Joubert,Venture Capital,Information Technology
Wise-Integration,Damien Bretegnier,Venture Capital,Information Technology
PulseSight Therapeutics,Joon Hyun,Venture Capital,Healthcare
PulseSight Therapeutics,Kostas Kaloulis,Venture Capital,Healthcare
PulseSight Therapeutics,Dominik Escher,Venture Capital,Healthcare
C12,Nader Sabbaghian,Venture Capital,Information Technology
